phrase1,phrase2,sentence1,sentence2,label,idx
expression,expression,the best poker players can tell if the opponents have a good hand by looking at their expression .,her expression changed from joy to misery after realising her winning lottery ticket had expired .,1,2830
go,go,these luxuries all had to go under the khmer rouge .,this violinist is as good as juilliard-trained violinists go .,0,2831
picture,picture,he had no clear picture of himself or his world .,he described his mental picture of his assailant .,1,2832
damage,damage,how much is the damage ?,what 's the damage ? he asked the waiter .,1,2833
foot,foot,the foot of the mountain .,his bare feet projected from his trousers .,0,2834
go,go,this sofa wo n't go with the chairs .,we should go farther in this matter .,0,2835
follow,follow,can you follow her argument ?,"when he lectures , i can not follow .",1,2836
get,get,she did n't get to chicago until after midnight .,the blow got him in the back .,0,2837
work,work,do you want to work after the age of 60 ?,my wife never worked .,1,2838
nonprofit,nonprofit,"if it was n't subsidized , the nonprofit would be bankrupt .",employees of a nonprofit rarely make as much as greedy counterparts in the commercial world .,1,2839
roll,roll,the roll of a ball .,calculate the roll of that aircraft .,0,2840
estimate,estimate,an estimate of what it would cost .,many factors are involved in any estimate of human life .,0,2841
point,point,point a gun .,point the letter .,0,2842
work,work,work one 's muscles .,my personal trainer works me hard .,1,2843
ground,ground,ground the electrical connections for safety reasons .,the storm grounded the ship .,0,2844
sex,sex,they had sex in the back seat .,( the believers ... those ... ) who abstain from sex .,1,2845
erase,erase,please erase the formula on the blackboard -- it is wrong !,the turks erased the armenians in 1915 .,0,2846
fail,fail,i fail to understand your motives .,a number of banks failed that year .,0,2847
make,make,do n't make this into a big deal .,he made a fool of himself at the meeting .,1,2848
execute,execute,execute the decision of the people .,"your orders have been executed , sir !",1,2849
channel,channel,a channel is typically what you rent from a telephone company .,the channel is created by bonding the signals from these four pairs .,1,2850
war,war,the war on poverty .,"in the us , conservatives rail against the "" war on christmas "" .",1,2851
softness,softness,the climate had the softness of the south of france .,softness is not something permitted of good leaders .,0,2852
body,body,a body of precedents .,a body of doctrine .,1,2853
interest,interest,in the interest of safety .,victorian furniture is an interest of mine .,0,2854
recognition,recognition,give her recognition for trying .,"molecular recognition drives all of biology , for instance , hormone and receptor or antibody-antigen interactions or the organization of molecules into larger biologically active entities .",0,2855
feel,feel,the sheets feel soft .,the ground feels shaky .,1,2856
pull,pull,the spaceship came under the pull of the gas giant .,the pull of the current .,1,2857
gravitation,gravitation,the gravitation between two bodies is proportional to the product of their masses and inversely proportional to the square of the distance between them .,"gravitation är svagare än elektromagnetismen , men påverkar all materia och energi .",1,2858
organ,organ,"georgie fame plays all types of keyboards including electric piano , organ , and hammond organ .",the organ of the communist party .,0,2859
cut,cut,we had to cut short the conversation .,cut the noise .,1,2860
rack,rack,rack one 's brains .,rack a camera .,0,2861
war,war,"the "" war on drugs "" is a campaign against the use of narcotic drugs .",the war against crime .,1,2862
name,name,halt in the name of the law .,he had no sons and there was no one to carry on his name .,0,2863
stuff,stuff,you do n't have the stuff to be a united states marine .,the trunk was full of stuff .,0,2864
street,street,walk down the street .,he lives on nassau street .,1,2865
gold,gold,she has a heart of gold .,the child was as good as gold .,1,2866
title,title,he had no documents confirming his title to his father 's estate .,i can never remember movie titles .,0,2867
throw,throw,"have , throw , or make a party .",the horse threw its rider .,0,2868
discover,discover,"the story is false , so far as i can discover .","turning the corner , i discovered a lovely little shop .",1,2869
call,call,he placed a phone call to london .,the salesman 's call on a customer .,0,2870
use,use,i ca n't use this tool .,use this knife to slice the bread .,1,2871
be,be,i shall be writing to you soon .,the sky is blue .,1,2872
session,session,a training session .,a gossip session .,1,2873
convert,convert,convert lead into gold .,he converted his garden into a tennis court .,1,2874
set,set,his instructions deliberately gave them the wrong set .,the sets were meticulously authentic .,0,2875
start,start,they got an early start .,the movie was entertaining from start to finish .,0,2876
door,door,education is the door to success .,we closed the door to haitian immigrants .,1,2877
dress,dress,we had to dress quickly .,marlene dressed herself .,1,2878
corner,corner,standing on the corner watching all the girls go by .,in many corners of the world they still practice slavery .,0,2879
dingbat,dingbat,you would be a dingbat even to try it .,yet here he was with an upper class dingbat who just happened to be married to his sister .,1,2880
work,work,can you work an electric drill ?,this pilot works the controls .,1,2881
beat,beat,beat one 's foot rhythmically .,i beat the traffic .,0,2882
connection,connection,the connection between church and state is inescapable .,the connection between overeating and obesity .,1,2883
fall,fall,fall into a strange way of thinking .,fall prey to an imposter .,1,2884
discover,discover,"the story is false , so far as i can discover .",i discovered what to do .,1,2885
quality,quality,membership of this golf club is limited to those of quality and wealth .,"while being impulsive can be great for artists , it is not a desirable quality for engineers .",0,2886
baby,baby,this project is his baby .,"hey baby , what are you doing later ?",0,2887
offset,offset,i 'll offset the time difference locally .,to offset one charge against another .,1,2888
help,help,"please , help !",can you help me carry this table ?,1,2889
pull,pull,you 'll be sent home if you pull another stunt like that .,pull your knees towards your chin .,0,2890
piece,piece,it is not known who created this piece .,i need to rest for a piece .,0,2891
ride,ride,she loves to ride her new motorcycle through town .,the child rode on his mother 's hips .,0,2892
trail,trail,there as a trail of blood .,the trail led straight to the perpetrator .,0,2893
line,line,he has a smooth line but i did n't fall for it .,a dedicated line .,0,2894
cover,cover,does my policy cover accidental loss ?,the insurance wo n't cover this .,1,2895
turn,turn,turn the dial to 10 .,turn the heat down .,1,2896
field,field,the home crowd cheered when princeton took the field .,there are several species of wild flowers growing in this field .,1,2897
suffer,suffer,suffer a terrible fate .,his grades suffered .,0,2898
unit,unit,after the battle the soldier had trouble rejoining his unit .,the coach said the offensive unit did a good job .,1,2899
ribbon,ribbon,the lighted ribbon of traffic .,a mere ribbon of land .,1,2900
assign,assign,to assign counsel for a prisoner .,the teacher assigned him to lead his classmates in the exercise .,1,2901
tension,tension,tension holds the belt in the pulleys .,the direction of maximum tension moves asymptotically toward the direction of the shear .,0,2902
raise,raise,raise a siege .,raise a family .,0,2903
