,sentence1,sentence2,label,hypothesis_graph_structure
7780,"BRAIN PARTS AND FUNCTIONS The brain is the control centre of the body, through the nervous centre it controls every function of the body.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7781,"Beyond airodynamics, the creation of airplains did not advance our understanding of how the brain of birds controls flight.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7782,Centers in the brain stem and just above it where it joins the forebrain are the most primitive parts of the brain which control the critical functions such as breathing and temperature regulation as well as basic emotional responses.,"Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7783,"Controlling factors of our feeding instincat are mostly in the brain, but partly in the gastrointestinal system.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7784,Different functions of the body are controlled by different parts of the brain.,"Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7785,"Human speech functions are controlled by the outer part of the brain, the cortex.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7786,Hypothalamus A part of the brain that controls some of the body's automatic regulatory functions.,"Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7787,"It promotes development of the part of the brain that controls motor coordination, learning and memory.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7788,"Most experts agree that it affects the midbrain, the part of the brain that controls impulses.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7789,"Normal pituitary function is controlled by another part of the brain, the hypothalamus .","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7790,"Not surprisingly, the part of the brain that  controls flight is the most developed part.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",1,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
7791,"Of course the most important part of the anatomy that controls erections, orgasms and ejaculations is the brain.","Not surprisingly, controlling flight is the function of the most developed part of a bird's brain.",0,controlling flight<>is<>the function$$$controlling flight<>is the function of<>the most developed part$$$controlling flight<>is the function of the most developed part of<>a bird$$$the function<>of<>the most developed part$$$the function<>of the most developed part of<>a bird$$$the function<>of the most developed part of a bird<>'s brain$$$the most developed part<>of<>a bird$$$the most developed part<>of a bird<>'s brain
